Event Code,Short Description,Full Description
71617,CC-Link device has unsupported group,The CC-Link device arg has unsupported group value arg . Consequences No communication with arg is possible. Recommended actions 1 Change the group value for device . 2 Restart the controller.
71618,Duplicate address on CC-Link device.,The CC-Link device arg has duplicate ip address with device arg . Conflicting address arg Consequences No communication with arg is possible. Recommended actions 1 Change the ip address on the conflicting device or change the ip address for . 2 Restart the controller.
71619,No IP-address set for CC-Link device,The IP-address for the CC-Link device arg has not been set. No communication with device will be possible. Recommended actions Configure an IP-address for the CC-Link device arg .
71620,No interface for destination found,There is no interface on the controller for destination arg of CC-Link device arg . No communication with device will be possible. Recommended actions 1 Change the IP-address of . 2 Change the IP-address of controller. 3 Restart the controller.
71621,No interface for destination found,There is no interface on the controller with IP-address arg used by CC-Link Internal device arg . No communication with internal device will be possible. Recommended actions 1 Change the IP-address of internal device to IP-address on intended interface. 2 Configure the IP-address on intended interface of the controller. 3 Restart the controller. Continues on next page Technical reference manual - Event logs for RobotWare 7 327 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 7 Number series: 7 xxxx Continued
71622,Conflicting interface for CC-Link master,The IP-address arg used by CC-Link Internal device arg is also in use by CC-Link master. No communication with master on interface arg will be possible. Recommended actions 1 Change the IP-address of internal device to IP-address on intended interface. 2 Configure the devices on to another interface. 3 Restart the controller.
71623,Password could not be decrypted,"The password supplied for the FTP/SFTP client or for the Integrated Vision camera arg , could not be decrypted. Recommended actions The encrypted password has to be applied to the controller from which is was originally generated from. From the configuration editor in RobotStudio or in the sio.cfg, remove the encrypted password and enter the password again and restart the controller. Or verify that the sio.cfg applies to the controller it was generated from."
71624,PROFINET interface port is invalid,The interface port ( arg ) specified for PROFINET arg is invalid. Recommended actions Correct the configuration.
71650,Device Transfer Data loop detected,Device arg is part of a Device Transfer Data loop. Loops are not allowed. Recommended actions Correct the configuration.
71651,Device Transfer Data long chain,Device arg is part of a long chain of Device Transfer Data. More than arg . Recommended actions Correct the configuration.
71652,Invalid Device Transfer Data source area,Device Transfer Data arg has incorrect value for the source area. Allowed ´values area 'Input' or 'Output' Recommended actions Correct the configuration.
71653,Device Transfer Data invalid network,Device Transfer Data arg : Device arg is configured on network arg . Device Transfer Data is not supported for devices on network arg .
71654,Max number of Device Transfer Data,"The I/O configuration is invalid. The maximum number, arg , of Device Transfer Data instances in the I/O system has been exceeded. Recommended actions Modify the configuration of the I/O system (by reducing the number of device-transfer-data instances) so that the maximum limit is not exceeded."
71655,Device Transfer Data name already exists,The configuration of Device Transfer Data arg is invalid. The name already exists. Recommended actions Correct the configuration.
71656,Device Transfer Data destination area,Device Transfer Data arg destination area overlaps with signal arg . Consequences Device Transfer Data arg will not be performed. Recommended actions Correct the configuration. Continues on next page 328 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 7 Number series: 7 xxxx Continued
72010,PROFINET process alarm reported,"The I/O device arg has reported process alarm data in slot arg . Process Alarm A process alarm signals the occurrence of an event in the connected process, for instance upper limit value exceeded."
72011,PROFINET pull alarm data reported,The I/O device arg has reported pull alarm data in slot arg . arg . Pull Alarm A slot signals the withdrawal of a submodule/module or change in configuration (reduction).
72012,PROFINET plug alarm data reported,"The I/O device arg has reported plug alarm data in slot arg . arg . Plug Alarm A slot signals the insertion of a submodule/module, a new need for parameterization, or a change in configuration (addition)."
72013,PROFINET status alarm data reported,"The I/O device arg has reported status alarm data in slot arg . Status Alarm A Status alarm signals a change in the state of a submodule, for instance run, stop or ready."
72014,PROFINET update alarm data reported,The I/O device arg has reported update alarm data in slot arg . Update Alarm An update alarm signals the change of a parameter in a submodule e.g. by a local operation or a remote access.
72015,PROFINET redundancy alarm data,The I/O device arg has reported redundancy alarm data in slot arg . Redundancy Alarm A redundancy alarm signals the fault of one IO controller to the remaining IO controller for redundant IO ARs.
72016,PROFINET supervisor alarm data reported,The I/O device arg has reported supervisor alarm data in slot arg . Controlled by supervisor A slot signals the logical withdrawal of a submodule by the IO supervisor. The actions shall be according to the Pull Alarm.
72017,PROFINET released alarm data reported,The I/O device arg has reported released alarm in slot arg . Released Alarm A slot signals the logical insertion of a submodule by the IO supervisor. The actions shall be according to the Plug Alarm.
72018,PROFINET wrong plug submodule alarm,The I/O device arg has reported wrong plug submodule data in slot arg . Plug Wrong Submodule Alarm A slot signals the insertion of a wrong submodule/module or a change in configuration (addition).
72019,PROFINET return of submodule data,"The I/O device arg has reported return of submodule in slot arg . Return of Submodule Alarm A slot signals that a submodule is ready to switch its IOCS/IOPS from \""BAD\"" to \""GOOD\"" again without new parameterization."
72020,PROFINET diagnosis disappears alarm,The I/O device arg has reported a diagnosis disappears alarm for slot arg .
72021,PROFINET diagnosis appears alarm data,The I/O device arg has reported a diagnosis appears alarm for slot arg . User Structure Identifier (USI + data): arg . Continues on next page Technical reference manual - Event logs for RobotWare 7 329 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 7 Number series: 7 xxxx Continued
72022,PROFINET MC communication mismatch,The I/O device arg has reported MC communication mismatch alarm data in slot arg . Multicast Communication Mismatch A multicast consumer submodule signals that communication relationship to the associated multicast provider failed.
72023,PROFINET port data changed notification,The I/O device arg has reported port data changed notification alarm in slot arg . Port Data Change Notification Alarm A port submodule signals that port data has been changed.
72024,PROFINET sync data changed alarm data,The I/O device arg has reported sync data changed alarm in slot arg . Sync Data Change Notification Alarm An interface submodule signals that synchronization data has been changed.
72025,PROFINET isochronous mode problem,The I/O device arg has reported isochronous mode problem alarm in slot arg . Isochronous Mode Problem Notification Alarm The application signals that problems with isochronously execution have been detected.
72026,PROFINET alarm unit reported unknown,The I/O device arg has reported unknown alarm in slot arg . Alarm type is: 0x arg .
72050,Error reported by a CC-Link device,CC-Link device arg reports that an internal error occurred. Consequences No communication with the device is possible. Recommended actions 1 Check the CC-Link device. 2 Contact CC-Link device vendor.
72051,CC-Link error indication,Error indication from CC-Link master Error Code arg . IP-address arg . Argument arg .
72052,Duplicated CC-Link master detected on,Another CC-Link master station with IP-address arg exists on the same network as robot controller. Consequences No communication on CC-Link is possible. Recommended actions 1 Remove the other CC-Link master. 2 Restart the controller.
72053,Wrong number of occupied stations,CC-Link device with IP-address arg reports “Wrong number of occupied stations”. The configured Output/Input Size (number of occupied stations) cannot be handled by the target CC-Link device. Consequences No communication with the device is possible. Recommended actions 1 Configure the Output/Input Size for the CC-Link device. 2 Restart the controller.
72054,Duplicated CC-Link devices detected on,CC-Link master reports that duplicate devices with the same IP-address has been detected on the network for IP-address arg . Consequences No communication with the device is possible. Continues on next page 330 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 7 Number series: 7 xxxx Continued
72055,Duplicated CC-Link master detected on,"CC-Link device with IP-address arg reports ""Master station duplication"". Another CC-Link master station exists on the same network as robot controller. Consequences No communication on CC-Link is possible. Recommended actions 1 Remove the other CC-Link master. 2 Restart the controller."
72056,Disconnect notification from a CC-Link,CC-Link device arg reports disconnection. Consequences No communication with the device is possible. Recommended actions 1 Check the CC-Link device. 2 Contact CC-Link device vendor. Technical reference manual - Event logs for RobotWare 7 331 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 7 Number series: 7 xxxx Continued
90500,Safety Controller Internal Failure,An internal Failure has occurred in the safety controller. Consequences The safety controller will go into safe state. No operation will be possible until restart. Recommended actions • Check other error messages arriving at the same time for cause of the error. • Check the safety controller configuration and installation.
90501,Safety Controller Reference Data Error,"The robot controller has stopped sending reference data to the safety controller for drive module arg . Consequences The safety controller will stop all robot movements. Recommended actions Restart the program. If the problem persists, restart the system."
90502,Safety Controller SMB Communication,"The safety controller for drive module arg failed to communicate with the serial measurement board (SMB). Consequences The safety controller will stop all robot movements. Probable causes • Errors in the configuration of external axes. • Disturbances in the communication links between the SMB, the robot controller, and the safety controller. Recommended actions • Check the configuration of external axes. • Check the cabling from the axis computer to the main computer for possible disturbances."
90503,Safety Controller Illegal Position Value,An illegal position value from the serial measurement board was detected by the safety controller for drive module arg and axis arg . The cause was arg . Consequences The safety controller will stop all robot movements. Probable causes 1 The square sum of the measured positions exceeded the configured max. 2 The square sum of the measured positions was below the configured minimum value. 3 Too high acceleration was detected in the resolver input. Recommended actions • Check the cabling to the serial measurement board and resolvers.
90504,Safety Controller not synchronized,The safety controller for drive module arg is not synchronized with supervised mechanical units. Probable causes • The robot has been moved while the power was off. • An error has occurred in the communication with the serial measurement board (SMB). • There is a mismatch between the calibration position parameters in the robot controller and the safety configuration. Recommended actions • Perform a new synchronization of the safety controller.
90505,Safety Controller Synchronization rejected,"The synchronization of Safety Controller drive module arg failed. Consequences The safety controller will remain in the unsynchronized state. Probable causes • One or more axes moved during synchronization. • The synchronization was not performed within the timeout limit. Recommended actions Make sure that the speed during synchronization is within limits, and perform a new synchronization of the safety controller. Continues on next page Technical reference manual - Event logs for RobotWare 7 333 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 8 Number series: 9 xxxx"
90506,Safety Controller Wrong Sync Position,"The axis arg position does not match its synchronization position, as defined in the safety configuration for the safety controller on drive module arg . Consequences Synchronization will not be performed, and the safety controller will go to the unsynchronized state. Probable causes • One or more axes are not in the correct synchronization position. • The revolution counters or calibration values of the robot controller are not correct. Recommended actions • Check that the synchronization positions in the safety configuration are correct, and that all axes are in their synchronization position. • Perform revolution counter update or calibration in the correct position, followed by a new synchronization of the safety controller. • Check that the synchronization switch is working properly."
90507,Safety Controller Synchronized,The safety controller for drive module arg is now synchronized to supervised mechanical units. Consequences Safety supervision can be used.
90508,Safety Controller Tool Change Incorrect,"Incorrect tool change, in the safety controller for drive module arg . The cause was arg . Consequences The safety controller will stop all robot movements. Operation is not possible until a valid tool has been selected. Probable causes 1 Invalid tool selection input. 2 Very high speed was detected during the tool change. Recommended actions Check that exactly one tool selection input is active."
90509,Safety Controller Brake Ramp supervision,"Too slow deceleration was detected during a Category 1 stop, in the safety controller for drive module arg . Consequences The Category 1 stop is automatically changed to a Category 0 stop. Recommended actions Usually, no actions are necessary. If this happens frequently, check the Application manual for mechanical units' configuration. For external axes, change the parameter value for Brake ramp in the safety configuration."
90511,Safety Controller Servo-Lag Limit,"The safety controller for drive module arg has detected a too big difference between the ordered and actual position on axis arg . Consequences The safety controller will stop all robot movements. Probable causes • A collision has occurred. • Incorrect load definition in the robot program. • Incorrect configuration of external axes. • A function has been activated that result in greater servo lag, such as soft servo or force control. • Incorrect synchronization of the safety controller. • Incorrect revolution counters in the robot controller. Recommended actions • If there was a collision, check the robot and perform a new synchronization if required. • Make sure that the robot load is defined correctly. • Check the Servo Lag settings in the safety configuration for the external axis. • Check that Contact Application Tolerance is activated correctly. • If needed, activate service mode to jog the robot. Check that the safety controller is synchronized correctly, and that the revolution counters in the robot controller are correct. Continues on next page 334 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 8 Number series: 9 xxxx Continued"
90512,SC Contact Application Tolerance servo,"The safety controller for drive module arg detected a too big difference between the ordered and actual position for axis arg , while inside Safety Area arg . Consequences The safety controller will stop all robot movements. Probable causes The robot has moved too far from the path, due to external forces or programmed compliance (soft servo or force control). Recommended actions • Decrease the compliance, or limit the external forces on the axis. • Increase the Contact Application Tolerance position tolerance in the safety configuration."
90513,Tool Position supervision violation,"Tool position supervision arg caused a violation of zone arg in drive module arg . Tool arg was active and geometry arg caused the violation. Consequences If configured with a stop action, the safety controller will stop all robot movements, and no operation will be allowed until the violation has ceased or manual mode has been selected. Probable causes The tool geometry entered a forbidden region. Recommended actions Switch to manual mode, and jog the robot out of the violation."
90514,Safety Controller Standstill violation,"Standstill supervision arg in the safety controller for drive module arg is violated for axis arg . Consequences If configured with a stop action, the safety controller will stop all robot movements. Probable causes An attempt to move the robot has been done while Standstill supervision was active. Recommended actions • Make sure that no supervised axis is moving while Standstill supervision is active. • Increase the Tolerance parameter for the axis, in the configuration for Standstill supervision."
90515,Safety Controller Tool Speed violation,"Tool Speed supervision arg was violated in the safety controller for drive module arg . The cause was arg . Consequences If configured with a stop action, the safety controller will stop all robot movements. Probable causes 1 TCP speed too high. 2 Elbow speed too high. 3 Tool speed at point 1 too high. 4 Tool speed at point 2 too high. 5 Tool speed at point 3 too high. 6 Tool speed at point 4 too high. 7 Tool speed at point 5 too high. 8 Tool speed at point 6 too high. 9 Tool speed at point 7 too high. 10 Tool speed at point 8 too high. 11 Robot wrist speed too high. 12 TCP speed too low. Recommended actions Modify the program so that all speeds are inside the configured limits."
90516,Safety Controller Reduced Speed violation,The reduced speed limit was exceeded in the safety controller for drive module arg . Consequences The safety controller will stop all robot movements. Probable causes One or more mechanical units exceeded the reduced speed limit. The type of speed violation was arg . 1 TCP. 2 Elbow. 3 Wrist. 4 Axis . Continues on next page Technical reference manual - Event logs for RobotWare 7 335 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 8 Number series: 9 xxxx Continued
90517,Safety Controller Unsynchronized speed,"The unsynchronized mode speed limit was exceeded in the safety controller for drive module arg . Consequences The safety controller will stop all robot movements. Probable causes One or more mechanical units exceeded the unsynchronized mode speed limit. Recommended actions Jog all axes slowly to the synchronization position, and perform a synchronization of the safety controller."
90518,Safety Controller Emergency Stop,"The Emergency Stop, arg , has been triggered in the safety controller. Consequences The safety controller will stop all robot movements. Probable causes An emergency stop request has been received by the safety controller. Recommended actions Deactivate the emergency stop and restart the program."
90519,Safety Controller Input/Output Mismatch,"Different inputs/outputs reported by the two channels in the safety controller for drive module arg . The mismatch type was arg . Type 1: Input. Type 2: Output. Consequences The safety controller will stop all robot movements. No full speed operation is possible until the mismatch has ceased. Probable causes • Error in the cabling to the safety controller. • Dual channel mismatch in the safety supervision, due to limited numerical accuracy. Recommended actions • Check the safety controller cabling. • Check if one or more axes, points, or volumes are close to a zone or range border."
90520,Safety Controller Result Mismatch,"Different supervision results reported for the two channels in the safety controller for drive module arg . Consequences The safety controller will stop all robot movements. No full speed operation is possible until the mismatch has ceased. Probable causes One or more axes, points, or volumes are close to a zone or range border. Recommended actions In manual mode, jog away from the zone or range border."
90521,Safety Controller Brake Test violation,"Movement detected during Brake test for drive module arg , axis arg . Probable causes The brake test failed or was interrupted. Recommended actions • Perform a new brake test. If the problem persists, replace the brake. Continues on next page 336 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 8 Number series: 9 xxxx Continued"
90523,Safety Controller Protective Stop triggered,"The Protective Stop, arg , has been triggered in the safety controller. Consequences The safety controller will stop all robot movements. Probable causes A protective stop request has been received by the safety controller. Recommended actions Deactivate the protective stop and restart the program."
90524,Safety Controller configuration error,The Safety Controller failed to load the safety configuration file arg . Consequences The safety controller will stop all robot movements in automatic mode. Probable causes An invalid safety configuration has been loaded. Recommended actions Create and load a new safety configuration using the configurator.
90525,Operation in current mode not allowed by,The safety controller does not allow operation in the operating mode selected in drive module arg . Consequences The safety controller will stop all robot movements. Probable causes • Automatic operating mode was selected while commissioning mode was active. • Automatic or Manual Full Speed operating mode was selected while the safety controller was unsynchronized. Recommended actions • Synchronize the safety controller if not synchronized. • Alternatively. If in commissioning mode. Switch to manual mode to resume operation.
90526,Safety Controller Automatic Mode Warning,The active safety controller configuration has not been locked.
90527,Safety Controller difference in revolution,An error was detected in the position data for drive module arg . Consequences The safety controller will stop all robot movements. Recommended actions Perform a new synchronization of the safety controller.
90528,Safety Controller Tool Orientation violation,"Tool Orientation supervision arg was violated in the safety controller for drive module arg . Tool arg was active. Consequences If configured with a stop action, the safety controller will stop all robot movements. Probable causes The orientation of the tool was outside the configured bounds while Tool Orientation supervision was active. Recommended actions Switch to manual mode, and jog the robot so that the tool orientation does not violate the configured bounds."
90529,Safety Controller axis Position violation,"Axis position supervision arg in the safety controller for drive module arg was violated for axis arg . Consequences If configured with a stop action, the safety controller will stop all robot movements. Probable causes The position of one or more axes were outside the configured bounds while axis position supervision was active. Recommended actions Switch to manual mode, and jog the robot to a position inside configured bounds. Continues on next page Technical reference manual - Event logs for RobotWare 7 337 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 8 Number series: 9 xxxx Continued"
90530,Safety Controller Axis Speed violation,"Axis Speed supervision arg in the safety controller for drive module arg was violated for axis arg . The cause was arg . Consequences If configured with a stop action, the safety controller will stop all robot movements. Probable causes 1 Axis speed too high. 2 Axis speed too low. Recommended actions Modify the program, ensuring that all axis speeds are inside the configured limits."
90531,Cyclic Brake Check needs to be done,Cyclic Brake Check (CBC) time limit expired in Safety Controller (SC) arg or last brake check failed. Recommended actions Perform a brake check.
90532,Max allowed speed during Cyclic Brake,"The maximum speed limit, 250 mm/s, during Cyclic Brake Check was exceeded in Safety Controller (SC) arg . Probable causes • The maximum allowed speed limit exceeded. Recommended actions • Perform a new brake check and run with a speed lower than 250 mm/s."
90533,Cyclic Brake Check will be required soon,Cyclic Brake Check (CBC) required in arg hours. Recommended actions Perform a brake check before the time limit expires.
90534,Cyclic Brake Check interrupted or,Safety Controller (SC) arg has detected that the last Cyclic Brake Check (CBC) was interrupted or incorrect. Recommended actions • Check previous event messages. • Perform a new brake check only if needed.
90535,"Tool Position supervision violation, arm","Tool position supervision arg caused a violation of zone arg in drive module arg . The violation was caused by geometry arg on the robot arm. Consequences If configured with a stop action, the safety controller will stop all robot movements, and no operation will be allowed until the violation has ceased or manual mode has been selected. Recommended actions Switch to manual mode, and jog the robot out of the violation."
90537,Missing Sync-request,The synchronization switch is pressed without a synchronization request being sent to the Safety Controller. Consequences No synchronization will be done. Recommended actions Send a synchronization request to the Safety Controller before pressing the sync-switch.
90538,Safety Enable input not set,The SafetyEnable input to the Safety Controller is not set. Consequences The system goes to status SYS HALT. Probable causes • Errors in the safe communication. • Errors in the Safe IO configuration of the safety controller. Recommended actions • Check that the safe communication is working correctly. • Check the Safe IO configuration of the safety controller.
90539,Drive module without safety supervision,The safety configuration contains on or more drive modules with no mechanical units defined. Continues on next page 338 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 8 Number series: 9 xxxx Continued
90540,Only manual mode allowed,"The safety controller only allows operation in Manual mode, because of an error in the safety configuration or lock information. Consequences The safety controller will stop all robot movements. Probable causes • An error in the safety configuration or lock information has previously been reported. Until this has been corrected, operation is only allowed in Manual mode. • Feedback from the motor contactors is not correct. See also error message 90669. Recommended actions • Switch to Manual mode to resume operation. • Correct the error in the configuration or lock information."
90542,Unknown axis in safety configuration,"The safety controller configuration for drive module arg contains one or more axes that are not present in the robot controller configuration. Consequences The safety controller will prevent all robot movements. Operation is not possible until the error has been corrected. Probable causes One or more axes have been removed from the robot controller configuration. Alternatively, one or more axes were temporarily disabled during an upgrade or restart of the system. Recommended actions Check the robot controller configuration. If one or more mechanical units were temporarily disabled during an upgrade, a new restart with all mechanical units enabled should be sufficient."
90543,Cyclic Brake Check needs to be done,Cyclic Brake Check (CBC) time limit expired in Safety Controller (SC) arg or last brake check failed. Consequences This is only a warning. Recommended actions Check if a Brake Check needs to be performed.
90544,Safety Controller Tool Force Supervision,"The force acting on the tool could not be calculated for Tool Force Supervision arg in the safety controller for drive module arg . Consequences If configured with a stop action, the safety controller will stop all robot movements, and no operation will be allowed until the violation has ceased or manual mode has been selected. Probable causes The robot is too close to a singularity. Recommended actions Switch to manual mode, and jog the robot away from the singularity."
90545,Safety Controller Tool Force violation,"Tool Force Supervision arg was violated in the safety controller for drive module arg . Consequences If configured with a stop action, the safety controller will stop all robot movements, and no operation will be allowed until the violation has ceased or manual mode has been selected. Probable causes The force acting on the tool exceeded the configured maximum value. Recommended actions Switch to manual mode, and jog the robot out of the violation."
90546,Safety Controller Joint Torque violation,"The configured joint torque limit for Tool Force Supervision arg in the safety controller for drive module arg was violated for axis arg . Consequences If configured with a stop action, the safety controller will stop all robot movements, and no operation will be allowed until the violation has ceased or manual mode has been selected. Continues on next page Technical reference manual - Event logs for RobotWare 7 339 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 8 Number series: 9 xxxx Continued"
90547,Drive System Communication Failure,"The safety controller was unable to check the status of the drive system. Consequences The safety controller will stop all robot movements. Probable causes • Disturbances in the communication links between the drive system, the robot controller, and the safety controller. • Internal failure in the drive system. Recommended actions • Check for error messages arriving at the same time for possible causes. • Switch off power to the system and restart to see if the problem persists."
90548,Overspeed During Teach Mode,"Joint arg has exceeded the maximum speed for teach mode operation. Consequences The system goes to status SYS HALT. Probable causes The robot may have been moved manually while in state Motors Off. The error may also be caused by a maladjustment in the relation, commutation, between motor shaft and resolver on an additional axis, primarily during installation. Recommended actions 1 Press the Enabling Device to attempt resuming operation. 2 Check other event log messages occurring at the same time to determine the actual cause. 3 Perform a re-commutation of the motor at hand. How to do this is specified in the Additional Axes Manual."
90549,Torque sensor check failure,The torque sensor check for joint arg drive has exceeded the safety specified limit.The joint is connected to drive module arg in the drive unit at unit position arg and node arg . Consequences The safety system will prevent the robot from moving. Probable causes The monitoring channels do not match or torque sensor is faulty. Recommended actions Run the torque sensor calibration routine.
90550,Position sensor check failure,The position sensor between motor and arm side for joint arg exceeded the safety specified limit. The joint is connected to drive module arg in the drive unit at unit position arg and node arg .
90551,Drive system lock information error,"The robot controller configuration does not match the drive system lock information stored in the Safety Controller. Consequences The safety controller will prevent all robot movements. Operation is not possible until the error has been corrected. Probable causes The robot controller configuration has been changed since the safety configuration was locked, for instance by adding or removing some mechanical units or joints. Recommended actions Update the robot controller configuration so that it matches the drive system lock information stored in the Safety Controller."
90552,Safe payload undefined,The safe payload in the safety controller for drive module arg is undefined. Consequences The safety controller will prevent all robot movements in automatic mode. Continues on next page 340 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 8 Number series: 9 xxxx Continued
90553,Safe payload selection error,"The safe payload identified by the safety controller for drive module arg does not match the selected payload. Consequences The safety controller will prevent all robot movements in automatic mode. Probable causes • The actual payload held by the robot differs from the selected payload. • No RAPID GripLoad instruction was executed while the robot was inside the payload-change zone. Recommended actions Switch to manual mode, and perform a new payload selection."
90554,Safe payload selection not allowed,"Payload selection in the safety controller for drive module arg was performed in the wrong mode. Consequences The safety controller will stop all robot movements in automatic mode. If the selected payload does not match the currently active payload, a new payload selection is required. Probable causes The RAPID instruction GripLoad was executed while the robot was outside the payload-change zone, or while the safety controller was unsynchronized. Recommended actions If needed, switch to manual mode and perform a new payload selection."
90555,Safe payload identification movement,"The identification movement for the safe payload in the safety controller for drive module arg was not performed correctly. Consequences The safety controller will prevent all robot movements in automatic mode. Probable causes The tool speed, direction, or orientation during the payload identification movement did not match the values in the safety configuration. Recommended actions Switch to manual mode, and perform a new payload selection."
90556,Safe payload changed,The safe payload selection was performed successfully in the safety controller for drive module arg . The new payload is arg . Recommended actions The safety controller will use the parameters of the selected payload in all relevant calculations.
90557,One or more brakes were released,"Request by arg to release brakes has been acknowledged. Recommended actions • Activate the brakes by releasing the enabling device on the FlexPendant. • Or, set activation signal to low."
90558,Brake release request await activation,Request to release brakes has been issued by/from arg . Recommended actions Acknowledge the request to release the brakes.
90559,Out of sequence brake release requested,Emergency stop circuit was closed when brake release was requested. Recommended actions Emergency stop must be active before requesting brake release.
90600,Invalid SiosCfg tag,The SiosCfg tag on line arg is invalid. Continues on next page Technical reference manual - Event logs for RobotWare 7 341 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 8 Number series: 9 xxxx Continued
90601,Version attribute not found,The SiosCfg version attribute is missing on line arg . Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Add the version attribute to the safety configuration file.
90602,Specified version is not supported,The specified SiosCfg version in the safety configuration file on line arg is not supported. Consequences The system will stop all robot movements. Probable causes The safety configuration was not created for the current version of the system. Recommended actions Update the safety configuration to a version supported by the Safety Controller.
90603,Unsupported XML tag in safety,"XML tag arg , found on line arg , is unknown. Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration."
90604,Tag/Attribute is empty or contains invalid,"Tag/attribute arg , found on line arg , is empty or contains invalid character(s). Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration."
90605,Net name attribute is missing,The net name attribute on line arg is missing. Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90606,Invalid net name,The net name arg is invalid. Valid names are arg . Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90607,Net already exists,"The net arg , specified on line arg has already been specified. Consequences The system will stop all robot movements. Continues on next page 342 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 8 Number series: 9 xxxx Continued"
90608,Could not create network instance,Could not create network arg instance. It already exists. Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90609,Device attribute is missing,Device arg attribute arg is missing on line arg . Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90610,Device already exists,Device arg on line arg already exists. Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90611,Device create failed,Device arg failed. The device already exists. Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90612,Device attribute insize is invalid,Device arg attribute insize is empty or not a number. Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90613,Device attribute outsize is invalid,Device arg attribute outsize is empty or not a number. Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90614,Could not attach device to net,Attaching device arg to net arg failed because the device is already attached to net arg . Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration. Continues on next page Technical reference manual - Event logs for RobotWare 7 343 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 8 Number series: 9 xxxx Continued
90615,Could not attach device to net,Attaching device arg to net arg failed. Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90616,Could not find device,Could not find device arg . Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90617,Device attribute is missing,Device arg attribute arg is missing on line arg . Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90618,Device attribute is invalid,Device arg attribute arg is invalid on line arg . Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90619,Device attribute is invalid,Device arg attribute arg is invalid. Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90620,Could not create device module,Could not create device arg module. Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90621,Signal width invalid in device mapping,Device arg signal arg width is invalid. Consequences The system will stop all robot movements. Probable causes The safety configuration has not been created using RobotStudio. Recommended actions Update the safety configuration.
90622,Signal offset invalid in device mapping,Device arg signal arg offset is invalid. Consequences The system will stop all robot movements. Continues on next page 344 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 8 Number series: 9 xxxx Continued
